cusip,stock_name,value_x1000,shares,portfolio_weight
93627C101,WARRIOR MET COAL INC,114541245.0,1799831.0,34.0
020764106,ALPHA METALLURGICAL RESOUR I,87295880.0,532000.0,25.91
H8817H100,TRANSOCEAN LTD,76260076.0,24442332.0,22.64
G9460G101,VALARIS LTD,52001256.0,1066255.0,15.44
G65431127,NOBLE CORP PLC,6758920.0,239000.0,2.01
